,namespace,Tempo de correção por aluno por questão
0,acessoalmirantetamandare,0 days 02:30:40.067091230
1,acessocampolargo,0 days 01:57:52.136579045
2,acessocampolargokids,0 days 00:41:34.062401200
3,acessofazendariogrande,0 days 05:36:53.699397800
4,acessohauer,0 days 01:07:31.303896625
5,acessosantafelicidade,0 days 06:12:52.851221200
6,acessosjpinhais,0 days 01:08:00.654516
7,aescobjetivo,0 days 00:57:42.484379692
8,amadeus,2 days 03:32:18.208853282
9,cbpdigital,0 days 00:11:57.138618750
10,ceespacolivre,0 days 09:51:15.360013606
11,ciadosaber,0 days 20:21:35.009736
12,colegioalphaunis,0 days 02:50:39.691822190
13,colegiobatistaindependente,0 days 09:13:27.143691875
14,colegiobetelbrasileirosp,0 days 08:58:12.260110596
15,colegiobilac,0 days 02:34:34.200078512
16,colegiobrasilia,0 days 01:20:05.682933
17,colegiocb,0 days 00:45:27.482451133
18,colegiodasamericas,0 days 08:35:11.243928163
19,colegioeducallis,1 days 07:56:28.332620747
20,colegioensitec,0 days 00:18:41.876992666
21,colegioflamingo,0 days 02:16:04.772026333
22,colegiofuturageracao,0 days 01:08:25.920619260
23,colegioglobal,0 days 03:55:59.241421733
24,colegioiguatemy,0 days 00:00:30.665487
25,colegiointegral,0 days 06:45:32.908810142
26,colegiojoaopaulo,0 days 14:50:28.430154888
27,colegioplanck,0 days 09:58:24.317797142
28,colegiopremium,2 days 11:36:18.121513153
29,colegiouniverso,0 days 02:06:58.259177333
30,colegioup,0 days 02:04:18.551116593
31,crb,0 days 14:17:25.848510893
32,crescercampinas,0 days 14:02:03.542571733
33,eccos,2 days 05:48:53.214549
34,educandarioterciocorreia,0 days 06:03:25.131077673
35,einsteinassis,0 days 01:46:59.780133700
36,elitecuritibaemilianoperneta,0 days 00:38:25.539899285
37,integra,0 days 14:46:36.358221333
38,integradaeducativa,0 days 04:17:17.441636287
39,invictus,0 days 12:18:31.637686750
40,isem,9 days 00:24:16.627173500
41,magister,0 days 00:32:23.536453333
42,maplebearslz,0 days 01:04:27.052660666
43,nucleocriativo,0 days 04:26:37.969663
44,pioxi,0 days 01:07:14.878211400
45,pioxiicolegio,0 days 01:24:03.836288
46,portinari,0 days 00:57:05.738239388
47,porto,0 days 00:04:45.119036500
48,prismapatrocinio,0 days 03:06:56.334062333
49,progressaodc,0 days 11:14:43.143501500
50,progressaoig,0 days 03:25:52.549987833
51,provaspoliedro,0 days 14:54:27.365642253
52,psantagema,1 days 08:35:45.137091883
53,santoamerico,0 days 03:45:35.481466363
54,spdacruz,0 days 14:24:33.218290402
55,stellamarisaguaverde,0 days 03:06:49.033640
56,stellamarisjuveve,0 days 00:48:58.073020529
57,universobarcarena,0 days 00:02:32.362543
58,villalobos,0 days 03:39:11.402732652
